"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.44984e+003,-1.02000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,6.50000e+001,6.50000e+001
-7.47604e+003,-1.00414e+002,-1.36644e-001,1.44184e-001,1.20333e+000,7.83822e-001,1.02324e+000,1,4.00000e+000,-1.99600e+003,6.50000e+001,6.50000e+001
-7.50224e+003,-9.88274e+001,-2.73287e-001,2.88367e-001,2.39666e+000,1.55764e+000,1.04648e+000,1,8.00000e+000,-1.99200e+003,6.50000e+001,6.50000e+001
-7.52844e+003,-9.72411e+001,-4.09931e-001,4.32551e-001,3.58999e+000,2.33147e+000,1.06972e+000,1,1.20000e+001,-1.98800e+003,6.50000e+001,6.50000e+001
-7.55464e+003,-9.56548e+001,-5.46575e-001,5.76734e-001,4.78332e+000,3.10529e+000,1.09296e+000,1,1.60000e+001,-1.98400e+003,6.50000e+001,6.50000e+001
-7.58084e+003,-9.40685e+001,-6.83219e-001,7.20918e-001,5.97664e+000,3.87911e+000,1.11620e+000,1,2.00000e+001,-1.98000e+003,6.50000e+001,6.50000e+001
-7.60704e+003,-9.24822e+001,-8.19862e-001,8.65101e-001,7.16997e+000,4.65293e+000,1.13944e+000,1,2.40000e+001,-1.97600e+003,6.50000e+001,6.50000e+001
-7.63324e+003,-9.08959e+001,-9.56506e-001,1.00928e+000,8.36330e+000,5.42675e+000,1.16268e+000,1,2.80000e+001,-1.97200e+003,6.50000e+001,6.50000e+001
-7.65944e+003,-8.93096e+001,-1.09315e+000,1.15347e+000,9.55663e+000,6.20057e+000,1.18592e+000,1,3.20000e+001,-1.96800e+003,6.50000e+001,6.50000e+001
-7.68564e+003,-8.77233e+001,-1.22979e+000,1.29765e+000,1.07500e+001,6.97440e+000,1.20916e+000,1,3.60000e+001,-1.96400e+003,6.50000e+001,6.50000e+001
-7.71184e+003,-8.61370e+001,-1.36644e+000,1.44184e+000,1.19433e+001,7.74822e+000,1.23240e+000,1,4.00000e+001,-1.96000e+003,6.50000e+001,6.50000e+001
-7.73804e+003,-8.45507e+001,-1.50308e+000,1.58602e+000,1.31366e+001,8.52204e+000,1.25564e+000,1,4.40000e+001,-1.95600e+003,6.50000e+001,6.50000e+001
-7.76423e+003,-8.29644e+001,-1.63972e+000,1.73020e+000,1.43299e+001,9.29586e+000,1.27888e+000,1,4.80000e+001,-1.95200e+003,6.50000e+001,6.50000e+001
-7.78997e+003,-8.13879e+001,-1.65496e+000,2.04076e+000,1.51986e+001,9.98392e+000,1.28891e+000,1,5.20000e+001,-1.94800e+003,6.50000e+001,6.50000e+001
-7.81523e+003,-7.98210e+001,-1.54880e+000,2.51770e+000,1.57425e+001,1.05862e+001,1.28572e+000,1,5.60000e+001,-1.94400e+003,6.50000e+001,6.50000e+001
-7.84049e+003,-7.82542e+001,-1.44264e+000,2.99464e+000,1.62865e+001,1.11885e+001,1.28253e+000,1,6.00000e+001,-1.94000e+003,6.50000e+001,6.50000e+001
-7.86576e+003,-7.66874e+001,-1.33647e+000,3.47158e+000,1.68304e+001,1.17908e+001,1.27934e+000,1,6.40000e+001,-1.93600e+003,6.50000e+001,6.50000e+001
