"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.36743e+004,-1.02000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,6.50000e+001,6.50000e+001
-1.35559e+004,-1.03483e+002,-1.60629e+000,6.99034e-001,4.97529e+001,1.05224e+001,1.10331e+000,1,4.00000e+000,-1.99600e+003,6.50000e+001,6.50000e+001
-1.34375e+004,-1.04967e+002,-3.21259e+000,1.39807e+000,9.94959e+001,2.10348e+001,1.20662e+000,1,8.00000e+000,-1.99200e+003,6.50000e+001,6.50000e+001
-1.33191e+004,-1.06450e+002,-4.81888e+000,2.09710e+000,1.49239e+002,3.15472e+001,1.30993e+000,1,1.20000e+001,-1.98800e+003,6.50000e+001,6.50000e+001
-1.32007e+004,-1.07933e+002,-6.42518e+000,2.79614e+000,1.98982e+002,4.20596e+001,1.41324e+000,1,1.60000e+001,-1.98400e+003,6.50000e+001,6.50000e+001
-1.30823e+004,-1.09416e+002,-8.03147e+000,3.49517e+000,2.48725e+002,5.25721e+001,1.51655e+000,1,2.00000e+001,-1.98000e+003,6.50000e+001,6.50000e+001
-1.29639e+004,-1.10900e+002,-9.63777e+000,4.19421e+000,2.98468e+002,6.30845e+001,1.61986e+000,1,2.40000e+001,-1.97600e+003,6.50000e+001,6.50000e+001
-1.28455e+004,-1.12383e+002,-1.12441e+001,4.89324e+000,3.48211e+002,7.35969e+001,1.72317e+000,1,2.80000e+001,-1.97200e+003,6.50000e+001,6.50000e+001
-1.27271e+004,-1.13866e+002,-1.28504e+001,5.59227e+000,3.97954e+002,8.41093e+001,1.82648e+000,1,3.20000e+001,-1.96800e+003,6.50000e+001,6.50000e+001
-1.26087e+004,-1.15349e+002,-1.44567e+001,6.29131e+000,4.47697e+002,9.46217e+001,1.92979e+000,1,3.60000e+001,-1.96400e+003,6.50000e+001,6.50000e+001
-1.24903e+004,-1.16833e+002,-1.60629e+001,6.99034e+000,4.97439e+002,1.05134e+002,2.03310e+000,1,4.00000e+001,-1.96000e+003,6.50000e+001,6.50000e+001
-1.23719e+004,-1.18316e+002,-1.76692e+001,7.68938e+000,5.47182e+002,1.15647e+002,2.13641e+000,1,4.40000e+001,-1.95600e+003,6.50000e+001,6.50000e+001
-1.22535e+004,-1.19799e+002,-1.92755e+001,8.38841e+000,5.96925e+002,1.26159e+002,2.23972e+000,1,4.80000e+001,-1.95200e+003,6.50000e+001,6.50000e+001
-1.21320e+004,-1.21395e+002,-2.07414e+001,8.93270e+000,6.40973e+002,1.35985e+002,2.33320e+000,1,5.20000e+001,-1.94800e+003,6.50000e+001,6.50000e+001
