"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.77929e+003,-1.02000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,6.50000e+001,6.50000e+001
-8.75313e+003,-1.01677e+002,-3.69030e-001,2.03499e+000,1.48265e+001,7.09520e+000,9.86093e-001,1,4.00000e+000,-1.99600e+003,6.50000e+001,6.50000e+001
-8.72697e+003,-1.01354e+002,-7.38061e-001,4.06999e+000,2.96429e+001,1.41804e+001,9.72187e-001,1,8.00000e+000,-1.99200e+003,6.50000e+001,6.50000e+001
-8.70080e+003,-1.01031e+002,-1.10709e+000,6.10498e+000,4.44594e+001,2.12656e+001,9.58280e-001,1,1.20000e+001,-1.98800e+003,6.50000e+001,6.50000e+001
-8.67464e+003,-1.00708e+002,-1.47612e+000,8.13997e+000,5.92758e+001,2.83508e+001,9.44374e-001,1,1.60000e+001,-1.98400e+003,6.50000e+001,6.50000e+001
-8.64848e+003,-1.00385e+002,-1.84515e+000,1.01750e+001,7.40923e+001,3.54360e+001,9.30467e-001,1,2.00000e+001,-1.98000e+003,6.50000e+001,6.50000e+001
-8.62231e+003,-1.00062e+002,-2.21418e+000,1.22100e+001,8.89088e+001,4.25212e+001,9.16561e-001,1,2.40000e+001,-1.97600e+003,6.50000e+001,6.50000e+001
-8.59615e+003,-9.97388e+001,-2.58321e+000,1.42450e+001,1.03725e+002,4.96064e+001,9.02654e-001,1,2.80000e+001,-1.97200e+003,6.50000e+001,6.50000e+001
-8.56998e+003,-9.94158e+001,-2.95224e+000,1.62799e+001,1.18542e+002,5.66916e+001,8.88747e-001,1,3.20000e+001,-1.96800e+003,6.50000e+001,6.50000e+001
-8.54382e+003,-9.90927e+001,-3.32127e+000,1.83149e+001,1.33358e+002,6.37768e+001,8.74841e-001,1,3.60000e+001,-1.96400e+003,6.50000e+001,6.50000e+001
-8.51766e+003,-9.87697e+001,-3.69030e+000,2.03499e+001,1.48175e+002,7.08620e+001,8.60934e-001,1,4.00000e+001,-1.96000e+003,6.50000e+001,6.50000e+001
-8.49149e+003,-9.84467e+001,-4.05933e+000,2.23849e+001,1.62991e+002,7.79472e+001,8.47028e-001,1,4.40000e+001,-1.95600e+003,6.50000e+001,6.50000e+001
-8.46533e+003,-9.81236e+001,-4.42836e+000,2.44199e+001,1.77808e+002,8.50324e+001,8.33121e-001,1,4.80000e+001,-1.95200e+003,6.50000e+001,6.50000e+001
-8.43900e+003,-9.78686e+001,-4.75248e+000,2.63463e+001,1.88923e+002,9.02062e+001,8.15577e-001,1,5.20000e+001,-1.94800e+003,6.50000e+001,6.50000e+001
-8.41250e+003,-9.76815e+001,-5.03169e+000,2.81639e+001,1.96336e+002,9.34687e+001,7.94395e-001,1,5.60000e+001,-1.94400e+003,6.50000e+001,6.50000e+001
-8.38600e+003,-9.74944e+001,-5.31089e+000,2.99816e+001,2.03750e+002,9.67312e+001,7.73213e-001,1,6.00000e+001,-1.94000e+003,6.50000e+001,6.50000e+001
-8.35950e+003,-9.73073e+001,-5.59010e+000,3.17993e+001,2.11164e+002,9.99938e+001,7.52030e-001,1,6.40000e+001,-1.93600e+003,6.50000e+001,6.50000e+001
-8.33300e+003,-9.71202e+001,-5.86930e+000,3.36170e+001,2.18578e+002,1.03256e+002,7.30848e-001,1,6.80000e+001,-1.93200e+003,6.50000e+001,6.50000e+001
-8.30650e+003,-9.69331e+001,-6.14850e+000,3.54347e+001,2.25991e+002,1.06519e+002,7.09666e-001,1,7.20000e+001,-1.92800e+003,6.50000e+001,6.50000e+001
-8.28000e+003,-9.67460e+001,-6.42771e+000,3.72523e+001,2.33405e+002,1.09781e+002,6.88484e-001,1,7.60000e+001,-1.92400e+003,6.50000e+001,6.50000e+001
-8.25350e+003,-9.65589e+001,-6.70691e+000,3.90700e+001,2.40819e+002,1.13044e+002,6.67302e-001,1,8.00000e+001,-1.92000e+003,6.50000e+001,6.50000e+001
-8.22772e+003,-9.70975e+001,-6.20385e+000,3.69507e+001,2.26917e+002,1.07126e+002,6.67567e-001,1,8.40000e+001,-1.91600e+003,6.50000e+001,6.50000e+001
-8.20194e+003,-9.76362e+001,-5.70079e+000,3.48314e+001,2.13016e+002,1.01208e+002,6.67832e-001,1,8.80000e+001,-1.91200e+003,6.50000e+001,6.50000e+001
-8.17616e+003,-9.81749e+001,-5.19773e+000,3.27121e+001,1.99114e+002,9.52904e+001,6.68097e-001,1,9.20000e+001,-1.90800e+003,6.50000e+001,6.50000e+001
-8.15038e+003,-9.87135e+001,-4.69468e+000,3.05928e+001,1.85213e+002,8.93726e+001,6.68362e-001,1,9.60000e+001,-1.90400e+003,6.50000e+001,6.50000e+001
-8.12459e+003,-9.92522e+001,-4.19162e+000,2.84735e+001,1.71311e+002,8.34548e+001,6.68627e-001,1,1.00000e+002,-1.90000e+003,6.50000e+001,6.50000e+001
-8.09881e+003,-9.97909e+001,-3.68856e+000,2.63542e+001,1.57410e+002,7.75369e+001,6.68893e-001,1,1.04000e+002,-1.89600e+003,6.50000e+001,6.50000e+001
