"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.87117e+003,-9.95625e+001,2.56122e+000,5.34785e+000,9.97788e+000,1.36871e+001,5.81931e-001,1,1.32000e+002,-1.86800e+003,6.50000e+001,6.50000e+001
-7.85758e+003,-9.92211e+001,1.97154e+000,4.06635e+000,9.81919e+000,1.35157e+001,5.93782e-001,1,1.36000e+002,-1.86400e+003,6.50000e+001,6.50000e+001
-7.84400e+003,-9.88797e+001,1.38185e+000,2.78484e+000,9.66051e+000,1.33444e+001,6.05633e-001,1,1.40000e+002,-1.86000e+003,6.50000e+001,6.50000e+001
-7.83042e+003,-9.85383e+001,7.92159e-001,1.50334e+000,9.50182e+000,1.31731e+001,6.17485e-001,1,1.44000e+002,-1.85600e+003,6.50000e+001,6.50000e+001
-7.81684e+003,-9.81969e+001,2.02470e-001,2.21838e-001,9.34314e+000,1.30017e+001,6.29336e-001,1,1.48000e+002,-1.85200e+003,6.50000e+001,6.50000e+001
-7.80325e+003,-9.78555e+001,-3.87219e-001,-1.05966e+000,9.18445e+000,1.28304e+001,6.41187e-001,1,1.52000e+002,-1.84800e+003,6.50000e+001,6.50000e+001
-7.78967e+003,-9.75141e+001,-9.76907e-001,-2.34117e+000,9.02577e+000,1.26590e+001,6.53038e-001,1,1.56000e+002,-1.84400e+003,6.50000e+001,6.50000e+001
-7.77609e+003,-9.71728e+001,-1.56660e+000,-3.62267e+000,8.86709e+000,1.24877e+001,6.64890e-001,1,1.60000e+002,-1.84000e+003,6.50000e+001,6.50000e+001
-7.77649e+003,-9.72371e+001,-1.45553e+000,-3.30397e+000,8.85755e+000,1.24758e+001,6.64773e-001,1,1.64000e+002,-1.83600e+003,6.50000e+001,6.50000e+001
-7.77688e+003,-9.73015e+001,-1.34446e+000,-2.98528e+000,8.84801e+000,1.24640e+001,6.64657e-001,1,1.68000e+002,-1.83200e+003,6.50000e+001,6.50000e+001
-7.77728e+003,-9.73658e+001,-1.23339e+000,-2.66658e+000,8.83847e+000,1.24522e+001,6.64540e-001,1,1.72000e+002,-1.82800e+003,6.50000e+001,6.50000e+001
-7.77768e+003,-9.74302e+001,-1.12232e+000,-2.34789e+000,8.82893e+000,1.24403e+001,6.64424e-001,1,1.76000e+002,-1.82400e+003,6.50000e+001,6.50000e+001
-7.77808e+003,-9.74945e+001,-1.01125e+000,-2.02919e+000,8.81939e+000,1.24285e+001,6.64308e-001,1,1.80000e+002,-1.82000e+003,6.50000e+001,6.50000e+001
-7.77847e+003,-9.75589e+001,-9.00176e-001,-1.71049e+000,8.80985e+000,1.24167e+001,6.64191e-001,1,1.84000e+002,-1.81600e+003,6.50000e+001,6.50000e+001
-7.77887e+003,-9.76232e+001,-7.89105e-001,-1.39180e+000,8.80031e+000,1.24048e+001,6.64075e-001,1,1.88000e+002,-1.81200e+003,6.50000e+001,6.50000e+001
-7.77927e+003,-9.76876e+001,-6.78035e-001,-1.07310e+000,8.79077e+000,1.23930e+001,6.63959e-001,1,1.92000e+002,-1.80800e+003,6.50000e+001,6.50000e+001
-7.77967e+003,-9.77520e+001,-5.66965e-001,-7.54407e-001,8.78123e+000,1.23812e+001,6.63842e-001,1,1.96000e+002,-1.80400e+003,6.50000e+001,6.50000e+001
-7.78006e+003,-9.78163e+001,-4.55895e-001,-4.35711e-001,8.77169e+000,1.23693e+001,6.63726e-001,1,2.00000e+002,-1.80000e+003,6.50000e+001,6.50000e+001
-7.78046e+003,-9.78807e+001,-3.44825e-001,-1.17015e-001,8.76216e+000,1.23575e+001,6.63610e-001,1,2.04000e+002,-1.79600e+003,6.50000e+001,6.50000e+001
-7.78086e+003,-9.79450e+001,-2.33755e-001,2.01681e-001,8.75262e+000,1.23457e+001,6.63493e-001,1,2.08000e+002,-1.79200e+003,6.50000e+001,6.50000e+001
-7.78298e+003,-9.80149e+001,-1.35977e-001,4.94614e-001,8.74308e+000,1.23332e+001,6.63423e-001,1,2.12000e+002,-1.78800e+003,6.50000e+001,6.50000e+001
-7.78681e+003,-9.80903e+001,-5.14910e-002,7.61786e-001,8.73354e+000,1.23202e+001,6.63400e-001,1,2.16000e+002,-1.78400e+003,6.50000e+001,6.50000e+001
-7.79065e+003,-9.81657e+001,3.29951e-002,1.02896e+000,8.72400e+000,1.23072e+001,6.63377e-001,1,2.20000e+002,-1.78000e+003,6.50000e+001,6.50000e+001
-7.79448e+003,-9.82410e+001,1.17481e-001,1.29613e+000,8.71446e+000,1.22942e+001,6.63354e-001,1,2.24000e+002,-1.77600e+003,6.50000e+001,6.50000e+001
-7.79832e+003,-9.83164e+001,2.01967e-001,1.56330e+000,8.70492e+000,1.22812e+001,6.63330e-001,1,2.28000e+002,-1.77200e+003,6.50000e+001,6.50000e+001
-7.80215e+003,-9.83918e+001,2.86453e-001,1.83047e+000,8.69538e+000,1.22682e+001,6.63307e-001,1,2.32000e+002,-1.76800e+003,6.50000e+001,6.50000e+001
-7.80599e+003,-9.84672e+001,3.70939e-001,2.09764e+000,8.68584e+000,1.22552e+001,6.63284e-001,1,2.36000e+002,-1.76400e+003,6.50000e+001,6.50000e+001
-7.80983e+003,-9.85426e+001,4.55426e-001,2.36481e+000,8.67630e+000,1.22422e+001,6.63261e-001,1,2.40000e+002,-1.76000e+003,6.50000e+001,6.50000e+001
