"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.01762e+003,-1.02000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,6.50000e+001,6.50000e+001
-8.01571e+003,-1.01941e+002,-2.84901e-002,5.04700e-001,1.08786e+000,1.08943e+000,9.68983e-001,1,4.00000e+000,-1.99600e+003,6.50000e+001,6.50000e+001
-8.01379e+003,-1.01882e+002,-5.69801e-002,1.00940e+000,2.16573e+000,2.16886e+000,9.37965e-001,1,8.00000e+000,-1.99200e+003,6.50000e+001,6.50000e+001
-8.01187e+003,-1.01823e+002,-8.54702e-002,1.51410e+000,3.24359e+000,3.24829e+000,9.06948e-001,1,1.20000e+001,-1.98800e+003,6.50000e+001,6.50000e+001
-8.00995e+003,-1.01763e+002,-1.13960e-001,2.01880e+000,4.32145e+000,4.32771e+000,8.75931e-001,1,1.60000e+001,-1.98400e+003,6.50000e+001,6.50000e+001
-8.00803e+003,-1.01704e+002,-1.42450e-001,2.52350e+000,5.39932e+000,5.40714e+000,8.44913e-001,1,2.00000e+001,-1.98000e+003,6.50000e+001,6.50000e+001
-8.00611e+003,-1.01645e+002,-1.70940e-001,3.02820e+000,6.47718e+000,6.48657e+000,8.13896e-001,1,2.40000e+001,-1.97600e+003,6.50000e+001,6.50000e+001
-8.00420e+003,-1.01586e+002,-1.99431e-001,3.53290e+000,7.55504e+000,7.56600e+000,7.82879e-001,1,2.80000e+001,-1.97200e+003,6.50000e+001,6.50000e+001
-8.00228e+003,-1.01527e+002,-2.27921e-001,4.03760e+000,8.63291e+000,8.64543e+000,7.51862e-001,1,3.20000e+001,-1.96800e+003,6.50000e+001,6.50000e+001
-8.00036e+003,-1.01468e+002,-2.56411e-001,4.54230e+000,9.71077e+000,9.72486e+000,7.20844e-001,1,3.60000e+001,-1.96400e+003,6.50000e+001,6.50000e+001
-7.99844e+003,-1.01409e+002,-2.84901e-001,5.04700e+000,1.07886e+001,1.08043e+001,6.89827e-001,1,4.00000e+001,-1.96000e+003,6.50000e+001,6.50000e+001
-7.99652e+003,-1.01350e+002,-3.13391e-001,5.55170e+000,1.18665e+001,1.18837e+001,6.58810e-001,1,4.40000e+001,-1.95600e+003,6.50000e+001,6.50000e+001
-7.99461e+003,-1.01290e+002,-3.41881e-001,6.05640e+000,1.29444e+001,1.29631e+001,6.27792e-001,1,4.80000e+001,-1.95200e+003,6.50000e+001,6.50000e+001
