"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.89947e+003,-1.02000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,6.50000e+001,6.50000e+001
-7.89728e+003,-1.01310e+002,-5.18023e-001,5.62600e-001,2.26388e+000,1.07872e+000,9.70322e-001,1,4.00000e+000,-1.99600e+003,6.50000e+001,6.50000e+001
-7.89509e+003,-1.00619e+002,-1.03605e+000,1.12520e+000,4.51776e+000,2.14744e+000,9.40643e-001,1,8.00000e+000,-1.99200e+003,6.50000e+001,6.50000e+001
-7.89290e+003,-9.99286e+001,-1.55407e+000,1.68780e+000,6.77164e+000,3.21616e+000,9.10965e-001,1,1.20000e+001,-1.98800e+003,6.50000e+001,6.50000e+001
-7.89071e+003,-9.92382e+001,-2.07209e+000,2.25040e+000,9.02553e+000,4.28488e+000,8.81286e-001,1,1.60000e+001,-1.98400e+003,6.50000e+001,6.50000e+001
-7.88852e+003,-9.85477e+001,-2.59011e+000,2.81300e+000,1.12794e+001,5.35360e+000,8.51608e-001,1,2.00000e+001,-1.98000e+003,6.50000e+001,6.50000e+001
-7.88633e+003,-9.78573e+001,-3.10814e+000,3.37560e+000,1.35333e+001,6.42232e+000,8.21929e-001,1,2.40000e+001,-1.97600e+003,6.50000e+001,6.50000e+001
-7.88414e+003,-9.71668e+001,-3.62616e+000,3.93820e+000,1.57872e+001,7.49104e+000,7.92251e-001,1,2.80000e+001,-1.97200e+003,6.50000e+001,6.50000e+001
-7.88195e+003,-9.64763e+001,-4.14418e+000,4.50080e+000,1.80411e+001,8.55976e+000,7.62572e-001,1,3.20000e+001,-1.96800e+003,6.50000e+001,6.50000e+001
-7.87976e+003,-9.57859e+001,-4.66220e+000,5.06340e+000,2.02949e+001,9.62848e+000,7.32894e-001,1,3.60000e+001,-1.96400e+003,6.50000e+001,6.50000e+001
-7.87757e+003,-9.50954e+001,-5.18023e+000,5.62600e+000,2.25488e+001,1.06972e+001,7.03216e-001,1,4.00000e+001,-1.96000e+003,6.50000e+001,6.50000e+001
