"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.90732e+003,-1.02000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,6.50000e+001,6.50000e+001
-7.90338e+003,-1.01278e+002,-5.61953e-001,6.41591e-001,7.76487e+000,3.76572e+000,9.71049e-001,1,4.00000e+000,-1.99600e+003,6.50000e+001,6.50000e+001
-7.89944e+003,-1.00557e+002,-1.12391e+000,1.28318e+000,1.55197e+001,7.52143e+000,9.42098e-001,1,8.00000e+000,-1.99200e+003,6.50000e+001,6.50000e+001
-7.89550e+003,-9.98351e+001,-1.68586e+000,1.92477e+000,2.32746e+001,1.12772e+001,9.13147e-001,1,1.20000e+001,-1.98800e+003,6.50000e+001,6.50000e+001
-7.89156e+003,-9.91135e+001,-2.24781e+000,2.56637e+000,3.10295e+001,1.50329e+001,8.84196e-001,1,1.60000e+001,-1.98400e+003,6.50000e+001,6.50000e+001
-7.88762e+003,-9.83919e+001,-2.80976e+000,3.20796e+000,3.87843e+001,1.87886e+001,8.55246e-001,1,2.00000e+001,-1.98000e+003,6.50000e+001,6.50000e+001
-7.88368e+003,-9.76703e+001,-3.37172e+000,3.84955e+000,4.65392e+001,2.25443e+001,8.26295e-001,1,2.40000e+001,-1.97600e+003,6.50000e+001,6.50000e+001
-7.87974e+003,-9.69486e+001,-3.93367e+000,4.49114e+000,5.42941e+001,2.63000e+001,7.97344e-001,1,2.80000e+001,-1.97200e+003,6.50000e+001,6.50000e+001
-7.87580e+003,-9.62270e+001,-4.49562e+000,5.13273e+000,6.20489e+001,3.00557e+001,7.68393e-001,1,3.20000e+001,-1.96800e+003,6.50000e+001,6.50000e+001
-7.87186e+003,-9.55054e+001,-5.05758e+000,5.77432e+000,6.98038e+001,3.38115e+001,7.39442e-001,1,3.60000e+001,-1.96400e+003,6.50000e+001,6.50000e+001
-7.86792e+003,-9.47838e+001,-5.61953e+000,6.41592e+000,7.75587e+001,3.75672e+001,7.10491e-001,1,4.00000e+001,-1.96000e+003,6.50000e+001,6.50000e+001
-7.86398e+003,-9.40621e+001,-6.18148e+000,7.05751e+000,8.53135e+001,4.13229e+001,6.81540e-001,1,4.40000e+001,-1.95600e+003,6.50000e+001,6.50000e+001
-7.86004e+003,-9.33405e+001,-6.74343e+000,7.69910e+000,9.30684e+001,4.50786e+001,6.52589e-001,1,4.80000e+001,-1.95200e+003,6.50000e+001,6.50000e+001
-7.85692e+003,-9.27770e+001,-7.17102e+000,8.33779e+000,1.01280e+002,4.98805e+001,6.23101e-001,1,5.20000e+001,-1.94800e+003,6.50000e+001,6.50000e+001
-7.85462e+003,-9.23715e+001,-7.46423e+000,8.97358e+000,1.09948e+002,5.57286e+001,5.93076e-001,1,5.60000e+001,-1.94400e+003,6.50000e+001,6.50000e+001
-7.85232e+003,-9.19661e+001,-7.75745e+000,9.60936e+000,1.18616e+002,6.15766e+001,5.63051e-001,1,6.00000e+001,-1.94000e+003,6.50000e+001,6.50000e+001
-7.85002e+003,-9.15606e+001,-8.05066e+000,1.02452e+001,1.27283e+002,6.74247e+001,5.33026e-001,1,6.40000e+001,-1.93600e+003,6.50000e+001,6.50000e+001
-7.84772e+003,-9.11552e+001,-8.34388e+000,1.08809e+001,1.35951e+002,7.32728e+001,5.03001e-001,1,6.80000e+001,-1.93200e+003,6.50000e+001,6.50000e+001
-7.84542e+003,-9.07497e+001,-8.63709e+000,1.15167e+001,1.44619e+002,7.91209e+001,4.72976e-001,1,7.20000e+001,-1.92800e+003,6.50000e+001,6.50000e+001
-7.84312e+003,-9.03443e+001,-8.93030e+000,1.21525e+001,1.53287e+002,8.49689e+001,4.42951e-001,1,7.60000e+001,-1.92400e+003,6.50000e+001,6.50000e+001
-7.84082e+003,-8.99388e+001,-9.22352e+000,1.27883e+001,1.61955e+002,9.08170e+001,4.12926e-001,1,8.00000e+001,-1.92000e+003,6.50000e+001,6.50000e+001
-7.83782e+003,-9.01750e+001,-8.59014e+000,1.19402e+001,1.54829e+002,8.79272e+001,4.24712e-001,1,8.40000e+001,-1.91600e+003,6.50000e+001,6.50000e+001
-7.83483e+003,-9.04111e+001,-7.95675e+000,1.10921e+001,1.47703e+002,8.50375e+001,4.36498e-001,1,8.80000e+001,-1.91200e+003,6.50000e+001,6.50000e+001
-7.83183e+003,-9.06472e+001,-7.32337e+000,1.02440e+001,1.40578e+002,8.21477e+001,4.48283e-001,1,9.20000e+001,-1.90800e+003,6.50000e+001,6.50000e+001
-7.82883e+003,-9.08834e+001,-6.68999e+000,9.39592e+000,1.33452e+002,7.92579e+001,4.60069e-001,1,9.60000e+001,-1.90400e+003,6.50000e+001,6.50000e+001
-7.82584e+003,-9.11195e+001,-6.05661e+000,8.54783e+000,1.26326e+002,7.63682e+001,4.71855e-001,1,1.00000e+002,-1.90000e+003,6.50000e+001,6.50000e+001
-7.82284e+003,-9.13556e+001,-5.42323e+000,7.69973e+000,1.19201e+002,7.34784e+001,4.83641e-001,1,1.04000e+002,-1.89600e+003,6.50000e+001,6.50000e+001
-7.81984e+003,-9.15918e+001,-4.78984e+000,6.85164e+000,1.12075e+002,7.05886e+001,4.95426e-001,1,1.08000e+002,-1.89200e+003,6.50000e+001,6.50000e+001
-7.81685e+003,-9.18279e+001,-4.15646e+000,6.00354e+000,1.04949e+002,6.76989e+001,5.07212e-001,1,1.12000e+002,-1.88800e+003,6.50000e+001,6.50000e+001
-7.81385e+003,-9.20640e+001,-3.52308e+000,5.15545e+000,9.78234e+001,6.48091e+001,5.18998e-001,1,1.16000e+002,-1.88400e+003,6.50000e+001,6.50000e+001
-7.81085e+003,-9.23001e+001,-2.88970e+000,4.30735e+000,9.06977e+001,6.19193e+001,5.30784e-001,1,1.20000e+002,-1.88000e+003,6.50000e+001,6.50000e+001
-7.80786e+003,-9.25363e+001,-2.25631e+000,3.45926e+000,8.35720e+001,5.90296e+001,5.42569e-001,1,1.24000e+002,-1.87600e+003,6.50000e+001,6.50000e+001
-7.80486e+003,-9.27724e+001,-1.62293e+000,2.61116e+000,7.64463e+001,5.61398e+001,5.54355e-001,1,1.28000e+002,-1.87200e+003,6.50000e+001,6.50000e+001
-7.80186e+003,-9.28722e+001,-1.13181e+000,1.78265e+000,6.87495e+001,5.20841e+001,5.65869e-001,1,1.32000e+002,-1.86800e+003,6.50000e+001,6.50000e+001
-7.79885e+003,-9.28356e+001,-7.82932e-001,9.73713e-001,6.04816e+001,4.68624e+001,5.77112e-001,1,1.36000e+002,-1.86400e+003,6.50000e+001,6.50000e+001
-7.79583e+003,-9.27990e+001,-4.34060e-001,1.64778e-001,5.22136e+001,4.16407e+001,5.88355e-001,1,1.40000e+002,-1.86000e+003,6.50000e+001,6.50000e+001
-7.79282e+003,-9.27625e+001,-8.51866e-002,-6.44158e-001,4.39457e+001,3.64191e+001,5.99597e-001,1,1.44000e+002,-1.85600e+003,6.50000e+001,6.50000e+001
-7.78981e+003,-9.27259e+001,2.63686e-001,-1.45309e+000,3.56778e+001,3.11974e+001,6.10840e-001,1,1.48000e+002,-1.85200e+003,6.50000e+001,6.50000e+001
-7.78680e+003,-9.26893e+001,6.12559e-001,-2.26203e+000,2.74099e+001,2.59758e+001,6.22083e-001,1,1.52000e+002,-1.84800e+003,6.50000e+001,6.50000e+001
-7.78379e+003,-9.26527e+001,9.61432e-001,-3.07096e+000,1.91419e+001,2.07541e+001,6.33325e-001,1,1.56000e+002,-1.84400e+003,6.50000e+001,6.50000e+001
-7.78078e+003,-9.26161e+001,1.31030e+000,-3.87990e+000,1.08740e+001,1.55324e+001,6.44568e-001,1,1.60000e+002,-1.84000e+003,6.50000e+001,6.50000e+001
